"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","sourceRecordId","active","provenance"
"LB-LOC-35123","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35123","الشيخ طابا","Cheikh Taba","","populated-place","34.53421683","36.08081822","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35123","true","[object Object]"
"LB-LOC-35121","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35121","الشيخ طابا السهل","Cheikh Taba Es-Sahl","","populated-place","34.55128354","36.06115666","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35121","true","[object Object]"
"LB-LOC-35267","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35267","الشيخ زناد","Cheikh Zennad","","populated-place","34.61133454","35.99717436","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35267","true","[object Object]"
"LB-LOC-35402","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35402","شيخلار","Cheikhlar","","populated-place","34.61994607","36.27798376","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35402","true","[object Object]"
"LB-LOC-35224","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35224","شير حمارين","Chir Hmairine","","populated-place","34.62333336","36.10150596","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35224","true","[object Object]"
"LB-LOC-35419","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35419","الدغلة","Daghleh","","populated-place","34.5799263","36.21335808","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35419","true","[object Object]"
"LB-LOC-35155","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35155","ضهر ليسينه","Dahr Laissine","","populated-place","34.53912922","36.13917067","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35155","true","[object Object]"
"LB-LOC-35126","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35126","الدوره","Daouret Aakkar","","populated-place","34.54490924","36.22232754","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35126","true","[object Object]"
"LB-LOC-35225","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35225","دارين","Darine","","populated-place","34.61041715","36.10402549","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35225","true","[object Object]"
"LB-LOC-35511","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35511","دائرة النهر الكبير","Dayret Nahr El-Kabir","","populated-place","34.67702765","36.33158004","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35511","true","[object Object]"
"LB-LOC-35149","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35149","دير دلوم","Deir Dalloum","","populated-place","34.52567172","36.01840347","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35149","true","[object Object]"
