"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-8789168A27E2","Adloun","adloun","en","LB-LOC-2080563D88EC","[object Object]","true"
"LB-ALIAS-85E8E123A8FB","Ain_el-Hilweh","ain_el hilweh","en","LB-LOC-7291448E9594","[object Object]","true"
"LB-ALIAS-834A6B0527DC","Anqoun","anqoun","en","LB-LOC-2E6F0CD56D98","[object Object]","true"
"LB-ALIAS-75FDF120F3E1","Awwal","awwal","en","LB-LOC-445878A2CDF1","[object Object]","true"
"LB-ALIAS-147298641180","Babliyeh","babliyeh","en","LB-LOC-F98E872AC249","[object Object]","true"
"LB-ALIAS-BD78268F22E2","Bass","bass","en","LB-LOC-C8486527599B","[object Object]","true"
"LB-ALIAS-7A62E2D9AC56","Bqosta","bqosta","en","LB-LOC-D1DEE12C4F1A","[object Object]","true"
"LB-ALIAS-26249A7790D9","Bramiyeh","bramiyeh","en","LB-LOC-CC6194D7CC94","[object Object]","true"
"LB-ALIAS-7353053887BD","Charhabil","charhabil","en","LB-LOC-76B94CCA0A5C","[object Object]","true"
"LB-ALIAS-E4D741D2416C","Chhour","chhour","en","LB-LOC-0EE6FDE171DA","[object Object]","true"
"LB-ALIAS-A5C88A7C1028","Dar_Ain","dar_ain","en","LB-LOC-1074A9F302D8","[object Object]","true"
"LB-ALIAS-BAA8F4496C32","Darb_el-Sim","darb_el sim","en","LB-LOC-630B70F1A5D2","[object Object]","true"
"LB-ALIAS-A907E850CFEB","Dawayer-SD","dawayer sd","en","LB-LOC-72B4527CBF50","[object Object]","true"
"LB-ALIAS-271DA98468E8","Filiye","filiye","en","LB-LOC-98476D0AC298","[object Object]","true"
"LB-ALIAS-30D7A1EE029D","Ghaziyeh","ghaziyeh","en","LB-LOC-496334972C9A","[object Object]","true"
"LB-ALIAS-4453B0FF70A8","Halab_el-Aalya","halab_el aalya","en","LB-LOC-7396DCB3B4F1","[object Object]","true"
"LB-ALIAS-7F24C05D889A","Haret_Saida","haret_saida","en","LB-LOC-FC78C1F41B4C","[object Object]","true"
"LB-ALIAS-2AD2E4274397","Haret_Saida_el-Aala","haret_saida_el aala","en","LB-LOC-9B9BFA782388","[object Object]","true"
